ticker,security,sector,subindustry,registered,founded
UDR,UDR,Real Estate,Residential REITs,2016-03-07,1972
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,1990
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,1996
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08,1996
UNP,Union Pacific,Industrials,Railroads,1957-03-04,1862
UAL,United Airlines,Industrials,Airlines,2015-09-03,1967
UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,1977
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,1997
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,1979
VLO,Valero,Energy,Oil & Gas Refining & Marketing,,1980
VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,1998
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,1995
VRSK,Verisk,Industrials,Research & Consulting Services,2015-10-08,1971
VZ,Verizon,"Communication Services
",Integrated Telecommunication Services,1983-11-30,1983 (1877)
VRTX,Vertex,Health Care,Biotechnology,2013-09-23,1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,1899
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,1961
V,Visa,Information Technology,Data Processing & Outsourced Services,2009-12-21,1958
VNO,Vornado Realty Trust,Real Estate,Office REITs,,1982
VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30,1909
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,1999 (1869)
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,1962
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,2014
WM,Waste Management,Industrials,Environmental & Facilities Services,,1968
WAT,Waters,Health Care,Health Care Distributors,,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,1896
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,1852
WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,1970
WRK,WestRock,Materials,Paper Packaging,,2015
WY,Weyerhaeuser,Real Estate,Specialized REITs,,1900
WHR,Whirlpool,Consumer Discretionary,Household Appliances,,1911
WMB,Williams,Energy,Oil & Gas Storage & Transportation,1975-03-31,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,2016
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,1909
XYL,Xylem,Industrials,Industrial Machinery,2011-11-01,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,1997
ZBRA,Zebra,Information Technology,Electronic Equipment & Instruments,2019-12-23,1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,1927
ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22,1873
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,1952
